number,value,datetime_start,datetime_complete,duration,params_C,params_k_features,params_l1_ratio,params_max_df,params_max_features,params_max_iter,params_min_df,params_ngram_max,params_penalty,params_solver,params_sublinear_tf,state
0,0.7083955026315059,2025-08-10 23:19:49.005514,2025-08-10 23:19:50.416747,0 days 00:00:01.411233,2.801635158716261,8000,,0.9345337897812487,15000,2000,3,3,l2,saga,True,COMPLETE
1,0.6931921152562025,2025-08-10 23:19:50.417526,2025-08-10 23:19:51.610118,0 days 00:00:01.192592,75.56810141274431,3000,,0.8836289738105243,50000,5000,1,3,l2,lbfgs,True,COMPLETE
2,0.6876331447945603,2025-08-10 23:19:51.611050,2025-08-10 23:20:13.529233,0 days 00:00:21.918183,28.34090429514775,5000,0.19567539675064138,0.9875085179540983,20000,2000,3,2,elasticnet,liblinear,True,COMPLETE
3,0.48858551290452645,2025-08-10 23:20:13.529916,2025-08-10 23:20:14.460402,0 days 00:00:00.930486,0.044145368764944806,5000,,0.8059715452804795,30000,1000,1,2,l1,liblinear,True,COMPLETE
4,0.7076131601562744,2025-08-10 23:20:14.460954,2025-08-10 23:20:15.827223,0 days 00:00:01.366269,0.10165510266418734,10000,,0.879308090598268,10000,5000,2,4,l2,liblinear,True,COMPLETE
5,0.6920605870480256,2025-08-10 23:20:15.827924,2025-08-10 23:20:17.012585,0 days 00:00:01.184661,0.011650681118986135,15000,,0.8698787952166581,30000,1000,2,3,l2,saga,False,COMPLETE
6,0.38880595775289595,2025-08-10 23:20:17.013165,2025-08-10 23:20:18.095670,0 days 00:00:01.082505,0.02170500348871114,5000,0.6535161581541546,0.8176895258831209,15000,5000,1,3,elasticnet,lbfgs,False,COMPLETE
7,0.7073461780494704,2025-08-10 23:20:18.096411,2025-08-10 23:20:22.754493,0 days 00:00:04.658082,2.0305586522289136,5000,0.8318915121763588,0.9079786346337396,20000,5000,3,3,elasticnet,saga,False,COMPLETE
8,0.6989569759773662,2025-08-10 23:20:22.755218,2025-08-10 23:20:23.564467,0 days 00:00:00.809249,1.1839097834757704,10000,,0.9617159675882028,50000,5000,1,4,l1,liblinear,True,COMPLETE
9,0.7099951845812119,2025-08-10 23:20:23.565150,2025-08-10 23:20:24.235265,0 days 00:00:00.670115,0.27590690254397865,15000,,0.8713607610015894,10000,5000,3,3,l2,saga,False,COMPLETE
10,0.7094653286888636,2025-08-10 23:20:24.236066,2025-08-10 23:20:24.701216,0 days 00:00:00.465150,0.2787712521322577,15000,,0.8437039653560536,10000,1000,5,2,l2,saga,False,COMPLETE
11,0.7090326590220368,2025-08-10 23:20:24.702068,2025-08-10 23:20:25.155187,0 days 00:00:00.453119,0.25977998186036894,15000,,0.8408931095669215,10000,1000,5,2,l2,saga,False,COMPLETE
12,0.7093287429592834,2025-08-10 23:20:25.156022,2025-08-10 23:20:25.640598,0 days 00:00:00.484576,0.33815066502068875,15000,,0.8462370052760078,10000,1000,5,2,l2,saga,False,COMPLETE
13,0.6929355899415064,2025-08-10 23:20:25.641288,2025-08-10 23:20:26.171427,0 days 00:00:00.530139,8.304993906265247,15000,,0.8464907756025389,10000,1000,5,2,l2,saga,False,COMPLETE
14,0.7115299466066942,2025-08-10 23:20:26.172144,2025-08-10 23:20:27.049874,0 days 00:00:00.877730,0.38148724285933117,15000,,0.9138078799779673,10000,2000,3,4,l2,saga,False,COMPLETE
15,0.6399993224856734,2025-08-10 23:20:27.050562,2025-08-10 23:20:27.899380,0 days 00:00:00.848818,0.10406710399163341,8000,,0.9157593916799974,10000,2000,3,4,l1,saga,False,COMPLETE
16,0.7085411056696845,2025-08-10 23:20:27.900039,2025-08-10 23:20:28.695022,0 days 00:00:00.794983,0.5878068134308678,3000,,0.9380486900326876,10000,2000,3,4,l2,lbfgs,False,COMPLETE
17,0.6997420459977526,2025-08-10 23:20:28.695647,2025-08-10 23:20:29.625200,0 days 00:00:00.929553,8.191837190213825,15000,,0.9082522332342526,10000,2000,3,4,l2,saga,False,COMPLETE
18,0.6824115640868854,2025-08-10 23:20:29.625766,2025-08-10 23:20:30.806104,0 days 00:00:01.180338,0.08747396822311332,15000,0.15106009017878036,0.8636178795970805,20000,2000,3,4,elasticnet,saga,False,COMPLETE
19,0.6955468577971645,2025-08-10 23:20:30.806785,2025-08-10 23:20:31.515254,0 days 00:00:00.708469,4.2556535544764404,15000,,0.938232079908899,30000,5000,3,3,l1,lbfgs,False,COMPLETE
20,0.7148439792959038,2025-08-10 23:20:31.516047,2025-08-10 23:20:32.376156,0 days 00:00:00.860109,0.8374347193623628,8000,,0.8937833881984218,15000,5000,2,4,l2,saga,False,COMPLETE
21,0.7151234445258001,2025-08-10 23:20:32.376790,2025-08-10 23:20:33.205344,0 days 00:00:00.828554,0.9131577974803322,8000,,0.889571685853299,15000,5000,2,4,l2,saga,False,COMPLETE
22,0.7147622522440018,2025-08-10 23:20:33.205870,2025-08-10 23:20:34.031368,0 days 00:00:00.825498,0.8823082398174029,8000,,0.897280435521072,15000,5000,2,4,l2,saga,False,COMPLETE
23,0.7159233534087316,2025-08-10 23:20:34.032078,2025-08-10 23:20:34.867669,0 days 00:00:00.835591,0.9987247606652097,8000,,0.8911404942188815,15000,5000,2,4,l2,saga,False,COMPLETE
24,0.7139131883915105,2025-08-10 23:20:34.868359,2025-08-10 23:20:35.684278,0 days 00:00:00.815919,1.403114996768403,8000,,0.8919116283344101,15000,5000,2,4,l2,saga,False,COMPLETE
25,0.7061673052506457,2025-08-10 23:20:35.684830,2025-08-10 23:20:36.553849,0 days 00:00:00.869019,4.465449106642238,8000,,0.8584579953548117,15000,5000,2,4,l2,saga,False,COMPLETE
26,0.713397147734159,2025-08-10 23:20:36.554511,2025-08-10 23:20:37.371059,0 days 00:00:00.816548,0.7328255558983442,8000,,0.8934280728331166,15000,5000,2,4,l2,saga,False,COMPLETE
27,0.6991210840701642,2025-08-10 23:20:37.371696,2025-08-10 23:20:38.297923,0 days 00:00:00.926227,12.408417934874237,8000,,0.9268428437904715,15000,5000,2,4,l2,saga,False,COMPLETE
28,0.7038235677321312,2025-08-10 23:20:38.298662,2025-08-10 23:20:39.125092,0 days 00:00:00.826430,2.102983372495995,8000,,0.8279708432949863,15000,5000,2,4,l1,liblinear,False,COMPLETE
29,0.6746362710490654,2025-08-10 23:20:39.125744,2025-08-10 23:20:40.093245,0 days 00:00:00.967501,0.15594834043457995,8000,0.4438259049285978,0.9503980161103959,15000,5000,2,4,elasticnet,lbfgs,True,COMPLETE
30,0.7072209962670934,2025-08-10 23:20:40.093966,2025-08-10 23:20:40.961625,0 days 00:00:00.867659,3.588762943679895,8000,,0.924528649800535,15000,5000,2,4,l2,saga,False,COMPLETE
31,0.713873338972156,2025-08-10 23:20:40.962332,2025-08-10 23:20:41.811621,0 days 00:00:00.849289,0.7675767515168928,8000,,0.8963416501159348,15000,5000,2,4,l2,saga,False,COMPLETE
32,0.7138579347432495,2025-08-10 23:20:41.812341,2025-08-10 23:20:42.640663,0 days 00:00:00.828322,1.3803606890561002,8000,,0.8807824749445786,15000,5000,2,4,l2,saga,False,COMPLETE
33,0.7074822920300456,2025-08-10 23:20:42.641289,2025-08-10 23:20:43.469699,0 days 00:00:00.828410,0.5231948160914753,3000,,0.8946719353124317,50000,5000,2,4,l2,saga,False,COMPLETE
