number,value,datetime_start,datetime_complete,duration,params_dim_n_components,params_xgb_alpha,params_xgb_colsample_bynode,params_xgb_lambda,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_min_split_loss,params_xgb_subsample,user_attrs_f1_discrepancy,user_attrs_hyperparameters,user_attrs_model_dim,user_attrs_model_xgb,state
0,0.686807,2025-08-10 21:38:40.420490,2025-08-10 21:39:28.392745,0 days 00:00:47.972255,400,14.016725176148132,0.19361118426546192,17.99264218662403,0.0029106359131330704,10,7.33991780504304,1.2323344486727978,0.5190609389379257,0.26958100000000007,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=10, xgb_learning_rate=0.0029106359131330704, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.19361118426546192, xgb_subsample=0.5190609389379257, xgb_min_split_loss=1.2323344486727978, xgb_min_child_weight=7.33991780504304)",,,COMPLETE
1,0.686605,2025-08-10 21:39:28.393448,2025-08-10 21:39:58.153829,0 days 00:00:29.760381,800,12.871346474483568,0.22740346640696568,9.563633644393066,0.008706020878304856,3,7.727374508106509,1.7336180394137353,0.6827098485602953,0.20742399999999994,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=3, xgb_learning_rate=0.008706020878304856, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.22740346640696568, xgb_subsample=0.6827098485602953, xgb_min_split_loss=1.7336180394137353, xgb_min_child_weight=7.727374508106509)",,,COMPLETE
2,0.674677,2025-08-10 21:39:58.154415,2025-08-10 21:40:24.728852,0 days 00:00:26.574437,500,7.995106732375396,0.2752867891211309,16.777639420895206,0.0016738085788752138,5,10.495427649405375,2.8242799368681437,0.19764570245642932,0.17363800000000007,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=5, xgb_learning_rate=0.0016738085788752138, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.2752867891211309, xgb_subsample=0.19764570245642932, xgb_min_split_loss=2.8242799368681437, xgb_min_child_weight=10.495427649405375)",,,COMPLETE
3,0.650701,2025-08-10 21:40:24.729449,2025-08-10 21:40:37.387254,0 days 00:00:12.657805,600,17.125960221746915,0.20231447421237492,19.48448049611839,0.0001238513729886094,7,5.975773894779193,4.7955421490133325,0.5252813963310069,0.090449,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=7, xgb_learning_rate=0.0001238513729886094, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.20231447421237492, xgb_subsample=0.5252813963310069, xgb_min_split_loss=4.7955421490133325, xgb_min_child_weight=5.975773894779193)",,,COMPLETE
4,0.669899,2025-08-10 21:40:37.387746,2025-08-10 21:40:56.488393,0 days 00:00:19.100647,400,8.881699724000253,0.1732229409068673,18.63980603118173,0.0023359635026261607,3,12.427653651669052,1.1375540844608736,0.408106745617721,0.09351599999999993,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=3, xgb_learning_rate=0.0023359635026261607, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.1732229409068673, xgb_subsample=0.408106745617721, xgb_min_split_loss=1.1375540844608736, xgb_min_child_weight=12.427653651669052)",,,COMPLETE
5,0.671758,2025-08-10 21:40:56.489003,2025-08-10 21:41:36.397962,0 days 00:00:39.908959,700,18.422410256414732,0.2109126733153162,19.09248412346284,0.001096821720752952,5,19.54376941646838,4.100531293444458,0.4826971955402958,0.14797300000000002,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=5, xgb_learning_rate=0.001096821720752952, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.2109126733153162, xgb_subsample=0.4826971955402958, xgb_min_split_loss=4.100531293444458, xgb_min_child_weight=19.54376941646838)",,,COMPLETE
6,0.658964,2025-08-10 21:41:36.398536,2025-08-10 21:41:56.579028,0 days 00:00:20.180492,600,17.43106263727894,0.12713637334632286,9.070235476608438,0.00015030900645056822,10,9.879954961448966,2.554709158757928,0.23718800369340165,0.15870399999999996,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=10, xgb_learning_rate=0.00015030900645056822, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.12713637334632286, xgb_subsample=0.23718800369340165, xgb_min_split_loss=2.554709158757928, xgb_min_child_weight=9.879954961448966)",,,COMPLETE
7,0.679777,2025-08-10 21:41:56.579542,2025-08-10 21:42:36.368030,0 days 00:00:39.788488,400,7.980735223012586,0.5813181884524238,16.58367153944986,0.001217284708112243,5,6.118259655196562,4.947547746402069,0.19864695748233385,0.19617099999999998,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=5, xgb_learning_rate=0.001217284708112243, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.5813181884524238, xgb_subsample=0.19864695748233385, xgb_min_split_loss=4.947547746402069, xgb_min_child_weight=6.118259655196562)",,,COMPLETE
8,0.674559,2025-08-10 21:42:36.368576,2025-08-10 21:43:07.107008,0 days 00:00:30.738432,100,17.946551388133905,0.5627622080115674,6.738035892876946,0.002592475660475161,9,6.110669776011355,2.4338629141770904,0.6103050176286912,0.187021,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=9, xgb_learning_rate=0.002592475660475161, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.5627622080115674, xgb_subsample=0.6103050176286912, xgb_min_split_loss=2.4338629141770904, xgb_min_child_weight=6.110669776011355)",,,COMPLETE
9,0.648929,2025-08-10 21:43:07.107510,2025-08-10 21:43:11.437890,0 days 00:00:04.330380,700,12.08322387742924,0.29510999321604825,18.308191138644897,0.00013400367243354819,5,15.94409267507096,3.5502298854208525,0.3176876252009636,0.06340800000000002,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=5, xgb_learning_rate=0.00013400367243354819, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.29510999321604825, xgb_subsample=0.3176876252009636, xgb_min_split_loss=3.5502298854208525, xgb_min_child_weight=15.94409267507096)",,,COMPLETE
