trial_number,timestamp,val_f1,train_f1,f1_discrepancy,val_err,train_err,err_discrepancy,hp_dim_n_components,hp_xgb_max_depth,hp_xgb_learning_rate,hp_xgb_subsample,hp_xgb_colsample_bynode,hp_xgb_min_child_weight,hp_xgb_min_split_loss,hp_xgb_lambda,hp_xgb_alpha,hp_val_split,hp_seed,hp_num_rounds,hp_early_stopping_rounds,hp_dim_reduction_method,hp_xgb_num_parallel_tree
0,2025-08-10T21:38:40.420523,0.686807,0.956388,0.26958100000000007,0.2972068664533023,0.04151309408341416,0.25569377236988816,400,10,0.0029106359131330704,0.5190609389379257,0.19361118426546192,7.33991780504304,1.2323344486727978,17.99264218662403,14.016725176148132,0.4,42,100000,500,svd,1
1,2025-08-10T21:39:28.393467,0.686605,0.894029,0.20742399999999994,0.2996799534477742,0.10135790494665374,0.19832204850112045,800,3,0.008706020878304856,0.6827098485602953,0.22740346640696568,7.727374508106509,1.7336180394137353,9.563633644393066,12.871346474483568,0.4,42,100000,500,svd,1
2,2025-08-10T21:39:58.154425,0.674677,0.848315,0.17363800000000007,0.31044515565900493,0.14529582929194956,0.16514932636705537,500,5,0.0016738085788752138,0.19764570245642932,0.2752867891211309,10.495427649405375,2.8242799368681437,16.777639420895206,7.995106732375396,0.4,42,100000,500,svd,1
3,2025-08-10T21:40:24.729460,0.650701,0.74115,0.090449,0.33881291824265347,0.2498545101842871,0.08895840805836638,600,7,0.0001238513729886094,0.5252813963310069,0.20231447421237492,5.975773894779193,4.7955421490133325,19.48448049611839,17.125960221746915,0.4,42,100000,500,svd,1
4,2025-08-10T21:40:37.387758,0.669899,0.763415,0.09351599999999993,0.3167006109979633,0.22715809893307468,0.08954251206488864,400,3,0.0023359635026261607,0.408106745617721,0.1732229409068673,12.427653651669052,1.1375540844608736,18.63980603118173,8.881699724000253,0.4,42,100000,500,svd,1
5,2025-08-10T21:40:56.489015,0.671758,0.819731,0.14797300000000002,0.3143729997090486,0.17293889427740058,0.141434105431648,700,5,0.001096821720752952,0.4826971955402958,0.2109126733153162,19.54376941646838,4.100531293444458,19.09248412346284,18.422410256414732,0.4,42,100000,500,svd,1
6,2025-08-10T21:41:36.398548,0.658964,0.817668,0.15870399999999996,0.329938900203666,0.17565470417070805,0.15428419603295795,600,10,0.00015030900645056822,0.23718800369340165,0.12713637334632286,9.879954961448966,2.554709158757928,9.070235476608438,17.43106263727894,0.4,42,100000,500,svd,1
7,2025-08-10T21:41:56.579552,0.679777,0.875948,0.19617099999999998,0.3054989816700611,0.11852570320077595,0.1869732784692852,400,5,0.001217284708112243,0.19864695748233385,0.5813181884524238,6.118259655196562,4.947547746402069,16.58367153944986,7.980735223012586,0.4,42,100000,500,svd,1
8,2025-08-10T21:42:36.368586,0.674559,0.86158,0.187021,0.3142275240034914,0.13307468477206597,0.18115283923142544,100,9,0.002592475660475161,0.6103050176286912,0.5627622080115674,6.110669776011355,2.4338629141770904,6.738035892876946,17.946551388133905,0.4,42,100000,500,svd,1
9,2025-08-10T21:43:07.107521,0.648929,0.712337,0.06340800000000002,0.33692173407041026,0.2755577109602328,0.06136402311017747,700,5,0.00013400367243354819,0.3176876252009636,0.29510999321604825,15.94409267507096,3.5502298854208525,18.308191138644897,12.08322387742924,0.4,42,100000,500,svd,1
